y= 1.5	n= 0	scale= 1e+09	conc= 2e-32
39.3917	100	25	0
39.3946	100	25	1
39.3946	100	154	0
39.4705	100	154	1
39.4705	100	109	0
39.5062	100	109	1
39.5062	100	145	0
39.6063	100	145	1
39.6063	100	64	0
39.668	100	64	1
39.668	100	139	0
40.4037	100	139	1
40.4037	100	36	0
41.1047	100	36	1
41.1047	100	1	0
41.3639	100	1	1
41.3639	100	100	0
41.5372	100	100	1
41.5372	100	117	0
42.3882	100	117	1
42.3882	100	76	0
42.6076	100	76	1
42.6076	100	67	0
42.9281	100	67	1
42.9281	100	86	0
43.4522	100	86	1
43.4522	100	55	0
43.901	100	55	1
43.901	100	81	0
44.2415	100	81	1
44.2415	100	155	0
44.3292	100	155	1
44.3292	100	139	0
44.4254	100	139	1
44.4254	100	43	0
44.898	100	43	1
44.898	100	140	0
45.0278	100	140	1
45.0278	100	72	0
45.0564	100	72	1
45.0564	100	108	0
45.5976	100	108	1
45.5976	100	154	0
45.858	100	154	1
45.858	100	155	0
45.9937	100	155	1
45.9937	100	27	0
46.0602	100	27	1
46.0602	100	155	0
46.1183	100	155	1
46.1183	100	67	0
46.3325	100	67	1
46.3325	100	2	0
47.3103	100	2	1
47.3103	100	5	0
48.2142	100	5	1
48.2142	100	148	0
48.6412	100	148	1
48.6412	100	63	0
48.7005	100	63	1
48.7005	100	111	0
49.626	100	111	1
49.626	100	101	0
49.7532	100	101	1
49.7532	100	147	0
50.1791	100	147	1
50.1791	100	33	0
51.6502	100	33	1
51.6502	100	142	0
52.0419	100	142	1
52.0419	100	77	0
52.1854	100	77	1
52.1854	100	152	0
52.7091	100	152	1
52.7091	100	63	0
52.8827	100	63	1
52.8827	100	51	0
53.6918	100	51	1
53.6918	100	117	0
53.7561	100	117	1
53.7561	100	7	0
54.0714	100	7	1
54.0714	100	13	0
54.1934	100	13	1
54.1934	100	20	0
54.3901	100	20	1
54.3901	100	12	0
54.4207	100	12	1
54.4207	100	5	0
55.0699	100	5	1
55.0699	100	96	0
55.0853	100	96	1
55.0853	100	107	0
55.1778	100	107	1
55.1778	100	46	0
55.4398	100	46	1
55.4398	100	43	0
56.1644	100	43	1
56.1644	100	122	0
56.2224	100	122	1
56.2224	100	8	0
56.2815	100	8	1
56.2815	100	141	0
56.5369	100	141	1
56.5369	100	32	0
56.9944	100	32	1
56.9944	100	151	0
57.3158	100	151	1
57.3158	100	91	0
57.7933	100	91	1
57.7933	100	89	0
57.8234	100	89	1
57.8234	100	58	0
57.8475	100	58	1
57.8475	100	50	0
58.2566	100	50	1
58.2566	100	53	0
58.2765	100	53	1
58.2765	100	45	0
58.3426	100	45	1
58.3426	100	156	0
58.4602	100	156	1
58.4602	100	62	0
58.6398	100	62	1
58.6398	100	52	0
58.8403	100	52	1
58.8403	100	86	0
59.6093	100	86	1
59.6093	100	5	0
59.9864	100	5	1
59.9864	100	132	0
60.0041	99	132	1
60.0041	99	65	0
60.2948	99	65	1
60.2948	99	62	0
60.9657	99	62	1
60.9657	99	96	0
61.0749	99	96	1
61.0749	99	77	0
62.022	99	77	1
62.022	99	158	0
62.0505	99	158	1
62.0505	99	30	0
62.1916	99	30	1
62.1916	99	131	0
62.7505	99	131	1
62.7505	99	142	0
63.5581	99	142	1
63.5581	99	19	0
63.7759	99	19	1
63.7759	99	117	0
63.9732	99	117	1
63.9732	99	42	0
64.0026	99	42	1
64.0026	99	115	0
64.0727	99	115	1
64.0727	99	133	0
64.3373	99	133	1
64.3373	99	103	0
64.5873	99	103	1
64.5873	99	63	0
64.88	99	63	1
64.88	99	68	0
65.1275	99	68	1
65.1275	99	16	0
65.1925	99	16	1
65.1925	99	22	0
65.406	99	22	1
65.406	99	125	0
65.6162	99	125	1
65.6162	99	80	0
65.6405	99	80	1
65.6405	99	103	0
65.7997	99	103	1
65.7997	99	111	0
66.1856	99	111	1
66.1856	99	116	0
66.2164	99	116	1
66.2164	99	7	0
66.5133	99	7	1
66.5133	99	79	0
67.5399	99	79	1
67.5399	99	76	0
67.6582	99	76	1
67.6582	99	147	0
68.7062	99	147	1
68.7062	99	21	0
68.7067	99	21	1
68.7067	99	131	0
68.8134	99	131	1
68.8134	99	57	0
68.8695	99	57	1
68.8695	99	94	0
69.4091	99	94	1
69.4091	99	5	0
69.4294	99	5	1
69.4294	99	70	0
70.5653	99	70	1
70.5653	99	29	0
70.7232	99	29	1
70.7232	99	119	0
70.9035	99	119	1
70.9035	99	69	0
70.9843	99	69	1
70.9843	99	40	0
71.8959	99	40	1
71.8959	99	80	0
72.7212	99	80	1
72.7212	99	132	0
72.8761	99	132	1
72.8761	99	105	0
73.4433	99	105	1
73.4433	99	118	0
73.747	99	118	1
73.747	99	27	0
73.9509	99	27	1
73.9509	99	154	0
75.3961	99	154	1
75.3961	99	49	0
75.4972	99	49	1
75.4972	99	85	0
75.5069	99	85	1
75.5069	99	94	0
75.7797	99	94	1
75.7797	99	45	0
75.8031	99	45	1
75.8031	99	14	0
76.4657	99	14	1
76.4657	99	62	0
76.6729	99	62	1
76.6729	99	109	0
77.1152	99	109	1
77.1152	99	43	0
77.1617	99	43	1
77.1617	99	122	0
77.2064	99	122	1
77.2064	99	133	0
77.7881	99	133	1
77.7881	99	85	0
78.1053	99	85	1
78.1053	99	27	0
78.1305	99	27	1
78.1305	99	128	0
78.4128	99	128	1
78.4128	99	135	0
78.9555	99	135	1
78.9555	99	111	0
79.1134	99	111	1
79.1134	99	11	0
79.1794	99	11	1
79.1794	99	89	0
79.5067	99	89	1
79.5067	99	6	0
79.5824	99	6	1
79.5824	99	122	0
79.8937	99	122	1
79.8937	99	4	0
80.316	99	4	1
80.316	99	63	0
80.5052	99	63	1
80.5052	99	128	0
81.3004	99	128	1
81.3004	99	123	0
81.4251	99	123	1
81.4251	99	113	0
81.5074	99	113	1
81.5074	99	72	0
81.5818	99	72	1
81.5818	99	33	0
81.6196	99	33	1
81.6196	99	44	0
81.7626	99	44	1
81.7626	99	161	0
81.9924	99	161	1
81.9924	99	141	0
82.1835	99	141	1
82.1835	99	91	0
82.5182	99	91	1
82.5182	99	109	0
83.0921	99	109	1
83.0921	99	158	0
83.3411	99	158	1
83.3411	99	66	0
83.5235	99	66	1
83.5235	99	137	0
83.583	99	137	1
83.583	99	144	0
83.6312	99	144	1
83.6312	99	135	0
83.6875	99	135	1
83.6875	99	149	0
83.993	99	149	1
83.993	99	86	0
84.2088	99	86	1
84.2088	99	66	0
84.2362	99	66	1
84.2362	99	20	0
84.6397	99	20	1
84.6397	99	16	0
85.2268	99	16	1
85.2268	99	21	0
85.5747	99	21	1
85.5747	99	159	0
85.6345	99	159	1
85.6345	99	40	0
85.827	99	40	1
85.827	99	124	0
85.8497	99	124	1
85.8497	99	42	0
85.9635	99	42	1
85.9635	99	71	0
86.0645	99	71	1
86.0645	99	22	0
86.3723	99	22	1
86.3723	99	64	0
86.5608	99	64	1
86.5608	99	155	0
86.596	99	155	1
86.596	99	140	0
86.8781	99	140	1
86.8781	99	62	0
86.9339	99	62	1
86.9339	99	85	0
87.2417	99	85	1
87.2417	99	155	0
87.3108	99	155	1
87.3108	99	102	0
87.4056	99	102	1
87.4056	99	48	0
88.0061	99	48	1
88.0061	99	50	0
88.0831	99	50	1
88.0831	99	56	0
88.3862	99	56	1
88.3862	99	101	0
88.3894	99	101	1
88.3894	99	70	0
88.4901	99	70	1
88.4901	99	149	0
89.2893	99	149	1
89.2893	99	34	0
89.3534	99	34	1
89.3534	99	115	0
90.263	99	115	1
90.263	99	4	0
90.6585	99	4	1
90.6585	99	107	0
91.3073	99	107	1
91.3073	99	54	0
91.6944	99	54	1
91.6944	99	16	0
91.798	99	16	1
91.798	99	24	0
91.9293	99	24	1
91.9293	99	74	0
92.3378	99	74	1
92.3378	99	48	0
92.7446	99	48	1
92.7446	99	12	0
92.7611	99	12	1
92.7611	99	69	0
