seed= 999
cool_rate[s/K]= 60
y= 2.5
n= 2
scale= 1e+09
conc= 2e-32
salt= -0.944
0	100	157	0
1.14344	100	157	1
1.14344	100	83	0
1.14715	100	83	1
1.14715	100	127	0
1.28005	100	127	1
1.28005	100	125	0
1.41098	100	125	1
1.41098	100	14	0
1.49473	100	14	1
1.49473	100	103	0
1.55998	100	103	1
1.55998	100	94	0
1.69784	100	94	1
1.69784	100	121	0
1.7172	100	121	1
1.7172	100	62	0
2.29211	100	62	1
2.29211	100	120	0
2.53112	100	120	1
2.53112	100	137	0
2.57129	100	137	1
2.57129	100	12	0
2.60651	100	12	1
2.60651	100	97	0
2.89452	100	97	1
2.89452	100	93	0
3.65427	100	93	1
3.65428	100	95	0
3.92682	100	95	1
3.92682	100	125	0
4.14734	100	125	1
4.14734	100	23	0
4.4843	100	23	1
4.4843	100	43	0
4.81314	100	43	1
4.81314	100	72	0
5.0626	100	72	1
5.0626	100	65	0
5.10456	100	65	1
5.10456	100	135	0
5.26461	100	135	1
5.26461	100	162	0
5.40443	100	162	1
5.40443	100	126	0
5.49011	100	126	1
5.49011	100	74	0
5.57476	100	74	1
5.57476	100	138	0
5.58332	100	138	1
5.58332	100	20	0
5.59452	100	20	1
5.59452	100	93	0
6.30222	100	93	1
6.30222	100	5	0
7.148	100	5	1
7.148	100	151	0
7.15563	100	151	1
7.15563	100	50	0
7.16568	100	50	1
7.16568	100	79	0
7.51639	100	79	1
7.51639	100	15	0
7.52058	100	15	1
7.52058	100	121	0
7.55106	100	121	1
7.55106	100	67	0
7.69066	100	67	1
7.69066	100	102	0
7.91113	100	102	1
7.91113	100	66	0
8.12597	100	66	1
8.12597	100	49	0
8.31716	100	49	1
8.31716	100	110	0
8.70437	100	110	1
8.70437	100	98	0
8.81849	100	98	1
8.81849	100	19	0
8.82124	100	19	1
8.82124	100	25	0
9.01306	100	25	1
9.01306	100	137	0
9.04071	100	137	1
9.04071	100	93	0
9.12102	100	93	1
9.12102	100	43	0
9.71076	100	43	1
9.71076	100	107	0
10.0079	100	107	1
10.0079	100	146	0
10.1772	100	146	1
10.1772	100	110	0
10.3044	100	110	1
10.3044	100	160	0
10.3831	100	160	1
10.3831	100	135	0
10.5573	100	135	1
10.5573	100	99	0
10.5624	100	99	1
10.5624	100	70	0
11.2069	100	70	1
11.2069	100	11	0
11.3292	100	11	1
11.3292	100	123	0
11.5392	100	123	1
11.5392	100	135	0
11.5503	100	135	1
11.5503	100	141	0
11.9758	100	141	1
11.9758	100	14	0
12.3422	100	14	1
12.3422	100	40	0
12.3757	100	40	1
12.3757	100	51	0
12.8217	100	51	1
12.8217	100	112	0
12.8785	100	112	1
12.8785	100	122	0
12.8802	100	122	1
12.8802	100	78	0
13.1391	100	78	1
13.1391	100	10	0
13.3687	100	10	1
13.3687	100	51	0
13.7326	100	51	1
13.7326	100	22	0
13.7829	100	22	1
13.7829	100	37	0
14.0704	100	37	1
14.0704	100	163	0
14.2483	100	163	1
14.2483	100	114	0
14.374	100	114	1
14.374	100	13	0
14.421	100	13	1
14.421	100	53	0
14.6525	100	53	1
14.6525	100	107	0
14.7915	100	107	1
14.7915	100	51	0
15.0172	100	51	1
15.0172	100	58	0
15.2524	100	58	1
15.2524	100	43	0
15.2907	100	43	1
15.2907	100	158	0
15.5648	100	158	1
15.5648	100	122	0
15.7154	100	122	1
